image_name,dir_name,speech,score,have_sub,left_top_x,left_top_y,right_top_x,right_top_y,left_bottom_x,left_bottom_y,right_bottom_x,right_bottom_y,frame_number,dir_number
frame_000816.jpg,assets\frames\1,太好了,0.9956132769584656,True,480.0,6.0,596.0,6.0,480.0,44.0,596.0,44.0,816,1
frame_000840.jpg,assets\frames\1,怎麼濕成這樣,0.9852176308631896,True,448.0,9.0,677.0,5.0,448.0,44.0,677.0,43.0,840,1
frame_000912.jpg,assets\frames\1,你最近不來學校,0.9953128695487976,True,392.0,7.0,659.0,10.0,392.0,41.0,658.0,44.0,912,1
frame_000948.jpg,assets\frames\1,奶最近不來學校,0.9533393979072572,True,390.0,5.0,660.0,9.0,389.0,43.0,660.0,44.0,948,1
frame_001020.jpg,assets\frames\1,今天我來是有話要說,0.9764971137046814,True,472.0,7.0,809.0,3.0,472.0,44.0,809.0,42.0,1020,1
frame_001428.jpg,assets\frames\1,要不先坐下,0.848728358745575,True,547.0,8.0,736.0,8.0,547.0,42.0,736.0,42.0,1428,1
frame_001500.jpg,assets\frames\1,急什麼出什麼事了嗎,0.8526220321655273,True,472.0,8.0,812.0,8.0,472.0,44.0,812.0,44.0,1500,1
frame_001512.jpg,assets\frames\1,出件麼事碼,0.8444818258285522,True,585.0,10.0,812.0,10.0,585.0,44.0,812.0,44.0,1512,1
frame_001548.jpg,assets\frames\1,不能跟我們說碼,0.9842766523361206,True,512.0,10.0,771.0,10.0,512.0,44.0,771.0,44.0,1548,1
frame_001680.jpg,assets\frames\1,如果有不好的地方,0.9997926950454712,True,427.0,6.0,732.0,6.0,427.0,44.0,732.0,44.0,1680,1
frame_001740.jpg,assets\frames\1,是我自己的問題,0.947076380252838,True,512.0,7.0,767.0,7.0,512.0,44.0,767.0,44.0,1740,1
frame_001884.jpg,assets\frames\1,之前的Nve多開心呀,0.8937409520149231,True,481.0,6.0,804.0,6.0,481.0,44.0,804.0,44.0,1884,1
